ANO,Energia
2008,8476373
2009,8693661
2010,9064129
2011,9414052
2012,9711198
2013,9976262
2014,10041357
2015,10191302
2016,10680817
2017,10319437
2018,10668447
2019,10571275
2020,10556914
2021,10671561
2022,11097006
2023,11146565
2024,11435484
2025,11630001
2026,11827828
2027,12029019
2028,12233633
2029,12441727
2030,12653360
2031,12868594
2032,13087489
2033,13310107
2034,13536512
2035,13766768
2036,14000941
2037,14239097
2038,14481304
2039,14727631
2040,14978148
2041,15232926
2042,15492038
2043,15755558
2044,16023560
2045,16296120
2046,16573318
2047,16855230
2048,17141937
2049,17433521
2050,17730066
