,time,DiaSemana,Ano,Mes,Dia,Hora,Temp,dia_año,semana,sintetic
0,2008-01-01 00:00:00,1,2008,1,1,0,25.450318717645132,1,1,0
1,2008-01-01 01:00:00,1,2008,1,1,1,25.205217471392018,1,1,0
2,2008-01-01 02:00:00,1,2008,1,1,2,24.905021420505705,1,1,0
3,2008-01-01 03:00:00,1,2008,1,1,3,22.912425986269568,1,1,0
4,2008-01-01 04:00:00,1,2008,1,1,4,22.290843575022564,1,1,0
5,2008-01-01 05:00:00,1,2008,1,1,5,21.942616155994415,1,1,0
6,2008-01-01 06:00:00,1,2008,1,1,6,21.660785039985797,1,1,0
7,2008-01-01 07:00:00,1,2008,1,1,7,21.6699675074247,1,1,0
8,2008-01-01 08:00:00,1,2008,1,1,8,21.63394398131834,1,1,0
9,2008-01-01 09:00:00,1,2008,1,1,9,22.163701718176583,1,1,0
10,2008-01-01 10:00:00,1,2008,1,1,10,25.710959524179373,1,1,0
11,2008-01-01 11:00:00,1,2008,1,1,11,26.846053768354295,1,1,0
12,2008-01-01 12:00:00,1,2008,1,1,12,27.695078834625747,1,1,0
13,2008-01-01 13:00:00,1,2008,1,1,13,27.41819212416118,1,1,0
14,2008-01-01 14:00:00,1,2008,1,1,14,27.007806464008354,1,1,0
15,2008-01-01 15:00:00,1,2008,1,1,15,27.01628258779806,1,1,0
16,2008-01-01 16:00:00,1,2008,1,1,16,27.0169889314472,1,1,0
17,2008-01-01 17:00:00,1,2008,1,1,17,26.75564178126382,1,1,0
18,2008-01-01 18:00:00,1,2008,1,1,18,26.4603901359215,1,1,0
19,2008-01-01 19:00:00,1,2008,1,1,19,26.126995933525393,1,1,0
20,2008-01-01 20:00:00,1,2008,1,1,20,26.21034448412439,1,1,0
21,2008-01-01 21:00:00,1,2008,1,1,21,26.402469956691675,1,1,0
22,2008-01-01 22:00:00,1,2008,1,1,22,25.13952751202163,1,1,0
23,2008-01-01 23:00:00,1,2008,1,1,23,24.799069873134044,1,1,0
24,2008-01-02 00:00:00,2,2008,1,2,0,24.802601591379755,2,1,0
25,2008-01-02 01:00:00,2,2008,1,2,1,24.47697716912421,2,1,0
26,2008-01-02 02:00:00,2,2008,1,2,2,23.847624977736643,2,1,0
27,2008-01-02 03:00:00,2,2008,1,2,3,22.534532133977336,2,1,0
28,2008-01-02 04:00:00,2,2008,1,2,4,22.175003216562857,2,1,0
29,2008-01-02 05:00:00,2,2008,1,2,5,21.99417924238196,2,1,0
30,2008-01-02 06:00:00,2,2008,1,2,6,21.460183443628807,2,1,0
31,2008-01-02 07:00:00,2,2008,1,2,7,21.089353027828054,2,1,0
32,2008-01-02 08:00:00,2,2008,1,2,8,20.835069314136092,2,1,0
33,2008-01-02 09:00:00,2,2008,1,2,9,20.731943141361,2,1,0
34,2008-01-02 10:00:00,2,2008,1,2,10,24.125218031850352,2,1,0
35,2008-01-02 11:00:00,2,2008,1,2,11,25.080194645493464,2,1,0
36,2008-01-02 12:00:00,2,2008,1,2,12,26.479461414448394,2,1,0
37,2008-01-02 13:00:00,2,2008,1,2,13,27.757943419399624,2,1,0
38,2008-01-02 14:00:00,2,2008,1,2,14,28.77507827416747,2,1,0
39,2008-01-02 15:00:00,2,2008,1,2,15,31.93879147868489,2,1,0
40,2008-01-02 16:00:00,2,2008,1,2,16,32.64654781512746,2,1,0
41,2008-01-02 17:00:00,2,2008,1,2,17,33.17065480279257,2,1,0
42,2008-01-02 18:00:00,2,2008,1,2,18,32.87469681380111,2,1,0
43,2008-01-02 19:00:00,2,2008,1,2,19,32.92414086924123,2,1,0
44,2008-01-02 20:00:00,2,2008,1,2,20,32.74190420776199,2,1,0
45,2008-01-02 21:00:00,2,2008,1,2,21,31.96633888100149,2,1,0
46,2008-01-02 22:00:00,2,2008,1,2,22,29.475064830469478,2,1,0
47,2008-01-02 23:00:00,2,2008,1,2,23,27.997393916459544,2,1,0
48,2008-01-03 00:00:00,3,2008,1,3,0,27.47046155419787,3,1,0
49,2008-01-03 01:00:00,3,2008,1,3,1,27.2218285896991,3,1,0
50,2008-01-03 02:00:00,3,2008,1,3,2,26.448382293886027,3,1,0
51,2008-01-03 03:00:00,3,2008,1,3,3,24.66133286155093,3,1,0
52,2008-01-03 04:00:00,3,2008,1,3,4,24.391509587577787,3,1,0
53,2008-01-03 05:00:00,3,2008,1,3,5,23.947219432265967,3,1,0
54,2008-01-03 06:00:00,3,2008,1,3,6,23.584158796605834,3,1,0
55,2008-01-03 07:00:00,3,2008,1,3,7,23.35318442333562,3,1,0
56,2008-01-03 08:00:00,3,2008,1,3,8,23.005663347956613,3,1,0
57,2008-01-03 09:00:00,3,2008,1,3,9,22.91030695532214,3,1,0
58,2008-01-03 10:00:00,3,2008,1,3,10,23.75862567794445,3,1,0
59,2008-01-03 11:00:00,3,2008,1,3,11,23.774871581874777,3,1,0
60,2008-01-03 12:00:00,3,2008,1,3,12,23.45913597070728,3,1,0
61,2008-01-03 13:00:00,3,2008,1,3,13,24.418350646245244,3,1,0
62,2008-01-03 14:00:00,3,2008,1,3,14,25.359200386905513,3,1,0
63,2008-01-03 15:00:00,3,2008,1,3,15,28.096988370988925,3,1,0
64,2008-01-03 16:00:00,3,2008,1,3,16,28.686078974375278,3,1,0
65,2008-01-03 17:00:00,3,2008,1,3,17,30.07475058859302,3,1,0
66,2008-01-03 18:00:00,3,2008,1,3,18,30.602389294503837,3,1,0
67,2008-01-03 19:00:00,3,2008,1,3,19,30.661722161031946,3,1,0
68,2008-01-03 20:00:00,3,2008,1,3,20,30.140440547963408,3,1,0
69,2008-01-03 21:00:00,3,2008,1,3,21,28.835823827993863,3,1,0
70,2008-01-03 22:00:00,3,2008,1,3,22,26.652515608488727,3,1,0
71,2008-01-03 23:00:00,3,2008,1,3,23,24.886656485627952,3,1,0
72,2008-01-04 00:00:00,4,2008,1,4,0,23.069234276379575,4,1,0
73,2008-01-04 01:00:00,4,2008,1,4,1,22.088122947718148,4,1,0
74,2008-01-04 02:00:00,4,2008,1,4,2,21.6975149097413,4,1,0
75,2008-01-04 03:00:00,4,2008,1,4,3,19.550230216342584,4,1,0
76,2008-01-04 04:00:00,4,2008,1,4,4,19.441453294374355,4,1,0
77,2008-01-04 05:00:00,4,2008,1,4,5,19.473945102235007,4,1,0
78,2008-01-04 06:00:00,4,2008,1,4,6,18.726633521440306,4,1,0
79,2008-01-04 07:00:00,4,2008,1,4,7,18.499190866415802,4,1,0
80,2008-01-04 08:00:00,4,2008,1,4,8,18.476587869643197,4,1,0
81,2008-01-04 09:00:00,4,2008,1,4,9,18.37628707146473,4,1,0
82,2008-01-04 10:00:00,4,2008,1,4,10,19.06285309843298,4,1,0
83,2008-01-04 11:00:00,4,2008,1,4,11,19.35457302552959,4,1,0
84,2008-01-04 12:00:00,4,2008,1,4,12,19.874441951299843,4,1,0
85,2008-01-04 13:00:00,4,2008,1,4,13,19.769903091226467,4,1,0
86,2008-01-04 14:00:00,4,2008,1,4,14,19.94719534716171,4,1,0
87,2008-01-04 15:00:00,4,2008,1,4,15,21.65513429079266,4,1,0
88,2008-01-04 16:00:00,4,2008,1,4,16,21.65160257254695,4,1,0
89,2008-01-04 17:00:00,4,2008,1,4,17,21.725062312057958,4,1,0
90,2008-01-04 18:00:00,4,2008,1,4,18,21.871981791079975,4,1,0
91,2008-01-04 19:00:00,4,2008,1,4,19,21.762498525462604,4,1,0
92,2008-01-04 20:00:00,4,2008,1,4,20,21.646658167002954,4,1,0
93,2008-01-04 21:00:00,4,2008,1,4,21,20.913473459191096,4,1,0
94,2008-01-04 22:00:00,4,2008,1,4,22,19.254978571000265,4,1,0
95,2008-01-04 23:00:00,4,2008,1,4,23,18.780315638775278,4,1,0
96,2008-01-05 00:00:00,5,2008,1,5,0,18.786672731617557,5,1,0
97,2008-01-05 01:00:00,5,2008,1,5,1,18.773958545932942,5,1,0
98,2008-01-05 02:00:00,5,2008,1,5,2,19.04801988180094,5,1,0
99,2008-01-05 03:00:00,5,2008,1,5,3,17.398707461048957,5,1,0
100,2008-01-05 04:00:00,5,2008,1,5,4,17.256732387570935,5,1,0
101,2008-01-05 05:00:00,5,2008,1,5,5,17.078733787986607,5,1,0
102,2008-01-05 06:00:00,5,2008,1,5,6,16.15342360760752,5,1,0
103,2008-01-05 07:00:00,5,2008,1,5,7,16.039702280095298,5,1,0
104,2008-01-05 08:00:00,5,2008,1,5,8,15.67381626983854,5,1,0
105,2008-01-05 09:00:00,5,2008,1,5,9,15.932338045425354,5,1,0
106,2008-01-05 10:00:00,5,2008,1,5,10,20.300367171733853,5,1,0
107,2008-01-05 11:00:00,5,2008,1,5,11,20.88027530768136,5,1,0
108,2008-01-05 12:00:00,5,2008,1,5,12,21.167050829233915,5,1,0
109,2008-01-05 13:00:00,5,2008,1,5,13,21.893172100554295,5,1,0
110,2008-01-05 14:00:00,5,2008,1,5,14,22.105075195297616,5,1,0
111,2008-01-05 15:00:00,5,2008,1,5,15,24.433890206526428,5,1,0
112,2008-01-05 16:00:00,5,2008,1,5,16,24.816022120713512,5,1,0
113,2008-01-05 17:00:00,5,2008,1,5,17,24.893719922119374,5,1,0
114,2008-01-05 18:00:00,5,2008,1,5,18,24.862640801557063,5,1,0
115,2008-01-05 19:00:00,5,2008,1,5,19,24.92762441727831,5,1,0
116,2008-01-05 20:00:00,5,2008,1,5,20,24.72349110267561,5,1,0
