Ano_0,Ano_1,Ano_2
1387.7076,1387.7076,1387.7076
1286.5408,1286.5408,1286.5408
1261.6135,1261.6135,1261.6135
1175.909,1175.909,1175.909
1094.0918,1094.0918,1094.0918
1049.4141,1049.4141,1049.4141
1023.45953,1023.45953,1023.45953
1030.5237,1030.5237,1030.5237
1107.7474,1107.7474,1107.7474
1124.3136,1124.3136,1124.3136
1187.9929,1187.9929,1187.9929
1196.0825,1196.0825,1196.0825
1201.9308,1201.9308,1201.9308
1219.4131,1219.4131,1219.4131
1213.68,1213.68,1213.68
1206.3751,1206.3751,1206.3751
1181.1263,1181.1263,1181.1263
1162.4165,1162.4165,1162.4165
1169.1503,1169.1503,1169.1503
1194.0454,1194.0454,1194.0454
1408.2059,1408.2059,1408.2059
1479.1829,1479.1829,1479.1829
1491.7253,1491.7253,1491.7253
1429.9779,1429.9779,1429.9779
1420.8445,1420.8445,1420.8445
1298.527,1298.527,1298.527
1258.8864,1258.8864,1258.8864
1210.1075,1210.1075,1210.1075
1186.5337,1186.5337,1186.5337
1189.3058,1189.3058,1189.3058
1216.5354,1216.5354,1216.5354
1324.0492,1324.0492,1324.0492
1432.6011,1432.6011,1432.6011
1471.7327,1471.7327,1471.7327
1604.3964,1604.3964,1604.3964
1647.1625,1647.1625,1647.1625
1677.0278,1677.0278,1677.0278
1677.9233,1677.9233,1677.9233
1671.7993,1671.7993,1671.7993
1642.9393,1642.9393,1642.9393
1632.9915,1632.9915,1632.9915
1610.3442,1610.3442,1610.3442
1584.0676,1584.0676,1584.0676
1576.6044,1576.6044,1576.6044
1767.9569,1767.9569,1767.9569
1865.1055,1865.1055,1865.1055
1819.9131,1819.9131,1819.9131
1686.8802,1686.8802,1686.8802
1542.4005,1542.4005,1542.4005
1446.525,1446.525,1446.525
1359.4382,1359.4382,1359.4382
1262.2178,1262.2178,1262.2178
1259.075,1259.075,1259.075
1262.6017,1262.6017,1262.6017
1277.6519,1277.6519,1277.6519
1372.0215,1372.0215,1372.0215
1479.3634,1479.3634,1479.3634
1523.5166,1523.5166,1523.5166
1591.4065,1591.4065,1591.4065
1612.925,1612.925,1612.925
1602.0718,1602.0718,1602.0718
1613.4938,1613.4938,1613.4938
1629.0259,1629.0259,1629.0259
1663.9904,1663.9904,1663.9904
1643.2518,1643.2518,1643.2518
1611.2738,1611.2738,1611.2738
1578.6849,1578.6849,1578.6849
1567.0205,1567.0205,1567.0205
1732.2014,1732.2014,1732.2014
1772.8615,1772.8615,1772.8615
1713.7712,1713.7712,1713.7712
1576.0146,1576.0146,1576.0146
1391.624,1391.624,1391.624
1264.1603,1264.1603,1264.1603
1214.2388,1214.2388,1214.2388
1154.6447,1154.6447,1154.6447
1168.8441,1168.8441,1168.8441
1180.1802,1180.1802,1180.1802
1187.323,1187.323,1187.323
1308.9923,1308.9923,1308.9923
1394.7338,1394.7338,1394.7338
1445.932,1445.932,1445.932
1479.0005,1479.0005,1479.0005
1487.5906,1487.5906,1487.5906
1477.5535,1477.5535,1477.5535
1453.6962,1453.6962,1453.6962
1443.3192,1443.3192,1443.3192
1459.4441,1459.4441,1459.4441
1442.4917,1442.4917,1442.4917
1432.6672,1432.6672,1432.6672
1423.7153,1423.7153,1423.7153
1415.2614,1415.2614,1415.2614
1620.6937,1620.6937,1620.6937
1643.3608,1643.3608,1643.3608
1579.7153,1579.7153,1579.7153
1481.4557,1481.4557,1481.4557
1266.5204,1266.5204,1266.5204
1182.9872,1182.9872,1182.9872
1161.6418,1161.6418,1161.6418
1141.4735,1141.4735,1141.4735
1141.3445,1141.3445,1141.3445
1138.4928,1138.4928,1138.4928
1134.5675,1134.5675,1134.5675
1174.4014,1174.4014,1174.4014
1284.509,1284.509,1284.509
1335.1632,1335.1632,1335.1632
1383.4626,1383.4626,1383.4626
1394.0433,1394.0433,1394.0433
1402.6772,1402.6772,1402.6772
1411.6388,1411.6388,1411.6388
1401.6163,1401.6163,1401.6163
1421.3903,1421.3903,1421.3903
1403.4027,1403.4027,1403.4027
1384.4926,1384.4926,1384.4926
1374.3195,1374.3195,1374.3195
1382.1478,1382.1478,1382.1478
1589.4907,1589.4907,1589.4907
1612.8231,1612.8231,1612.8231
1549.896,1549.896,1549.896
1446.6381,1446.6381,1446.6381
1277.6118,1277.6118,1277.6118
1210.4951,1210.4951,1210.4951
1155.4208,1155.4208,1155.4208
1115.6555,1115.6555,1115.6555
1096.3899,1096.3899,1096.3899
1076.6838,1076.6838,1076.6838
1063.189,1063.189,1063.189
1080.3407,1080.3407,1080.3407
1146.9606,1146.9606,1146.9606
1195.6542,1195.6542,1195.6542
1239.4034,1239.4034,1239.4034
1281.6226,1281.6226,1281.6226
1327.4089,1327.4089,1327.4089
1375.2601,1375.2601,1375.2601
1372.5013,1372.5013,1372.5013
1411.7812,1411.7812,1411.7812
1382.4072,1382.4072,1382.4072
1368.1409,1368.1409,1368.1409
1363.8646,1363.8646,1363.8646
1388.3931,1388.3931,1388.3931
1604.6609,1604.6609,1604.6609
1658.3438,1658.3438,1658.3438
1646.4,1646.4,1646.4
1555.5498,1555.5498,1555.5498
1409.9645,1409.9645,1409.9645
1293.7717,1293.7717,1293.7717
1234.0737,1234.0737,1234.0737
1185.5698,1185.5698,1185.5698
1191.4545,1191.4545,1191.4545
1217.7336,1217.7336,1217.7336
1236.585,1236.585,1236.585
1356.4363,1356.4363,1356.4363
1466.4767,1466.4767,1466.4767
1520.8441,1520.8441,1520.8441
1561.9404,1561.9404,1561.9404
