Ano_0,Ano_1
1444.723,1444.723
1365.9146,1365.9146
1330.7823,1330.7823
1314.3082,1314.3082
1302.3473,1302.3473
1253.7979,1253.7979
1223.3761,1223.3761
1205.9341,1205.9341
1199.9794,1199.9794
1254.1139,1254.1139
1332.9781,1332.9781
1341.053,1341.053
1353.344,1353.344
1320.7256,1320.7256
1283.6888,1283.6888
1289.3358,1289.3358
1296.1929,1296.1929
1330.4775,1330.4775
1319.3452,1319.3452
1337.8031,1337.8031
1540.417,1540.417
1636.4275,1636.4275
1629.5996,1629.5996
1534.8674,1534.8674
1418.4578,1418.4578
1282.452,1282.452
1200.3992,1200.3992
1179.6093,1179.6093
1182.9801,1182.9801
1174.1194,1174.1194
1205.9053,1205.9053
1250.3513,1250.3513
1351.7732,1351.7732
1401.1494,1401.1494
1506.2539,1506.2539
1541.3881,1541.3881
1570.11,1570.11
1570.2107,1570.2107
1583.6506,1583.6506
1559.693,1559.693
1524.6865,1524.6865
1502.735,1502.735
1462.4564,1462.4564
1471.6111,1471.6111
1711.5779,1711.5779
1732.8994,1732.8994
1676.6727,1676.6727
1555.507,1555.507
1381.3688,1381.3688
1261.1355,1261.1355
1192.2019,1192.2019
1178.4083,1178.4083
1178.3142,1178.3142
1199.2136,1199.2136
1229.4641,1229.4641
1318.5173,1318.5173
1397.0795,1397.0795
1461.6907,1461.6907
1518.6947,1518.6947
1543.8411,1543.8411
1579.8774,1579.8774
1590.6066,1590.6066
1561.6794,1561.6794
1520.0211,1520.0211
1472.5052,1472.5052
1404.755,1404.755
1370.2955,1370.2955
1391.1543,1391.1543
1608.9025,1608.9025
1634.7993,1634.7993
1590.4326,1590.4326
1507.9481,1507.9481
1354.4567,1354.4567
1258.4386,1258.4386
1187.9476,1187.9476
1177.9768,1177.9768
1185.4857,1185.4857
1210.8146,1210.8146
1247.2395,1247.2395
1319.7212,1319.7212
1395.4708,1395.4708
1461.7744,1461.7744
1496.0983,1496.0983
1503.6738,1503.6738
1514.5756,1514.5756
1511.0137,1511.0137
1531.7864,1531.7864
1512.637,1512.637
1500.9427,1500.9427
1498.6895,1498.6895
1475.5719,1475.5719
1485.3767,1485.3767
1708.0144,1708.0144
1726.723,1726.723
1657.7893,1657.7893
1563.6099,1563.6099
1461.8457,1461.8457
1330.2312,1330.2312
1229.886,1229.886
1196.1998,1196.1998
1201.8994,1201.8994
1209.8018,1209.8018
1232.0664,1232.0664
1305.1378,1305.1378
1380.1938,1380.1938
1440.6097,1440.6097
1531.6248,1531.6248
1609.3868,1609.3868
1659.2764,1659.2764
1678.2032,1678.2032
1667.5145,1667.5145
1557.296,1557.296
1481.6447,1481.6447
1440.5515,1440.5515
1424.3303,1424.3303
1431.4663,1431.4663
1622.25,1622.25
1639.2507,1639.2507
1550.4991,1550.4991
1477.287,1477.287
1321.9658,1321.9658
1223.648,1223.648
1159.2645,1159.2645
1147.2594,1147.2594
1149.2516,1149.2516
1145.1697,1145.1697
1173.3066,1173.3066
1244.762,1244.762
1317.835,1317.835
1373.3307,1373.3307
1422.5673,1422.5673
1439.951,1439.951
1455.855,1455.855
1460.1818,1460.1818
1491.9762,1491.9762
1480.5228,1480.5228
1467.9375,1467.9375
1494.5002,1494.5002
1479.586,1479.586
1479.6586,1479.6586
1694.6185,1694.6185
1723.8422,1723.8422
1645.4839,1645.4839
1542.8853,1542.8853
1429.8119,1429.8119
1301.1276,1301.1276
1252.509,1252.509
1215.9401,1215.9401
1188.3047,1188.3047
1179.9404,1179.9404
1170.1154,1170.1154
1188.1442,1188.1442
1270.9022,1270.9022
1313.5803,1313.5803
1383.2344,1383.2344
1415.7784,1415.7784
1486.1534,1486.1534
1523.7163,1523.7163
1590.7849,1590.7849
1583.4247,1583.4247
1551.8296,1551.8296
1531.3807,1531.3807
1479.4656,1479.4656
1481.0779,1481.0779
1674.5955,1674.5955
1738.9967,1738.9967
1676.6239,1676.6239
1561.2852,1561.2852
1455.8865,1455.8865
1329.562,1329.562
1254.9658,1254.9658
1196.2949,1196.2949
1207.4071,1207.4071
1233.6797,1233.6797
1262.4305,1262.4305
1312.0126,1312.0126
1426.7603,1426.7603
1499.137,1499.137
1587.9624,1587.9624
1616.1667,1616.1667
1650.8547,1650.8547
1662.699,1662.699
1665.1216,1665.1216
1693.164,1693.164
1640.1407,1640.1407
1564.7573,1564.7573
1491.7733,1491.7733
1488.8237,1488.8237
1657.8768,1657.8768
1598.5228,1598.5228
1557.3755,1557.3755
1492.6271,1492.6271
1341.0421,1341.0421
1245.313,1245.313
1185.9169,1185.9169
1159.236,1159.236
1166.3911,1166.3911
1183.5529,1183.5529
1226.2545,1226.2545
1297.1282,1297.1282
1391.909,1391.909
1447.7823,1447.7823
1580.3905,1580.3905
1623.6007,1623.6007
1647.192,1647.192
1658.4868,1658.4868
1648.9045,1648.9045
1677.9009,1677.9009
1639.5111,1639.5111
1583.2451,1583.2451
1535.41,1535.41
1540.4043,1540.4043
1750.5647,1750.5647
1761.3176,1761.3176
1697.5104,1697.5104
1601.1625,1601.1625
1484.6332,1484.6332
1356.7637,1356.7637
1295.8258,1295.8258
1246.3534,1246.3534
1242.8666,1242.8666
1232.882,1232.882
1271.4092,1271.4092
1343.909,1343.909
1432.4822,1432.4822
1506.4988,1506.4988
1516.3334,1516.3334
1522.2635,1522.2635
1533.8851,1533.8851
1532.1272,1532.1272
1524.2468,1524.2468
1520.1775,1520.1775
1543.5087,1543.5087
1475.6611,1475.6611
1417.3998,1417.3998
1407.7605,1407.7605
1577.3082,1577.3082
1616.8798,1616.8798
1539.9492,1539.9492
1488.5868,1488.5868
1335.2798,1335.2798
1238.5658,1238.5658
1173.513,1173.513
1145.4875,1145.4875
1154.3197,1154.3197
1173.4458,1173.4458
1225.6539,1225.6539
1281.7896,1281.7896
1362.4384,1362.4384
1422.0948,1422.0948
1485.5306,1485.5306
1488.7291,1488.7291
1479.4702,1479.4702
1452.1621,1452.1621
1430.4908,1430.4908
1449.9666,1449.9666
1424.1565,1424.1565
1410.7815,1410.7815
1401.9678,1401.9678
1412.9957,1412.9957
1587.1998,1587.1998
1629.7184,1629.7184
1543.2212,1543.2212
1461.7993,1461.7993
1293.0491,1293.0491
1215.6495,1215.6495
1166.4935,1166.4935
1145.41,1145.41
1153.0831,1153.0831
1160.4763,1160.4763
1194.982,1194.982
1252.5936,1252.5936
1329.0891,1329.0891
1383.0621,1383.0621
1467.7083,1467.7083
1489.07,1489.07
1501.9214,1501.9214
1491.3439,1491.3439
1495.4291,1495.4291
1595.1768,1595.1768
1553.5529,1553.5529
1520.1497,1520.1497
1497.8506,1497.8506
1492.7759,1492.7759
1697.6149,1697.6149
1716.0573,1716.0573
1606.8721,1606.8721
1506.1836,1506.1836
1377.6179,1377.6179
1273.3447,1273.3447
1212.0065,1212.0065
1157.8312,1157.8312
1153.2596,1153.2596
1148.3019,1148.3019
1147.3965,1147.3965
1170.6901,1170.6901
1233.675,1233.675
1300.4318,1300.4318
1381.7118,1381.7118
1393.9131,1393.9131
1425.593,1425.593
1445.5065,1445.5065
1447.8944,1447.8944
1552.654,1552.654
1526.7557,1526.7557
1507.5748,1507.5748
1477.9292,1477.9292
1476.5682,1476.5682
1677.8845,1677.8845
1711.2318,1711.2318
1629.4048,1629.4048
1523.8195,1523.8195
1478.4138,1478.4138
1392.131,1392.131
1317.1404,1317.1404
1259.1112,1259.1112
1224.8862,1224.8862
1187.699,1187.699
1157.1165,1157.1165
1142.671,1142.671
1175.0916,1175.0916
1242.904,1242.904
1339.2941,1339.2941
1379.2751,1379.2751
1398.4265,1398.4265
1415.1062,1415.1062
1389.7719,1389.7719
1363.4391,1363.4391
1332.6383,1332.6383
1316.0626,1316.0626
1301.2698,1301.2698
1332.82,1332.82
1527.9199,1527.9199
1577.1373,1577.1373
1512.2125,1512.2125
1445.3258,1445.3258
1455.3796,1455.3796
1319.1201,1319.1201
1288.395,1288.395
1225.2295,1225.2295
1216.8365,1216.8365
1244.463,1244.463
1269.5399,1269.5399
1325.5493,1325.5493
1407.0383,1407.0383
1474.8833,1474.8833
1564.553,1564.553
1611.1593,1611.1593
1660.6298,1660.6298
1676.84,1676.84
1715.9309,1715.9309
1687.969,1687.969
1645.5383,1645.5383
1608.5764,1608.5764
1566.8226,1566.8226
1553.7632,1553.7632
1758.3083,1758.3083
1793.2458,1793.2458
1718.2393,1718.2393
1598.4647,1598.4647
1487.4672,1487.4672
1386.0968,1386.0968
1326.0465,1326.0465
1270.1725,1270.1725
1272.6738,1272.6738
1287.7383,1287.7383
1283.3098,1283.3098
1343.2405,1343.2405
1441.9727,1441.9727
1508.3312,1508.3312
1618.1155,1618.1155
1655.0817,1655.0817
1696.5482,1696.5482
1722.1537,1722.1537
1765.2081,1765.2081
1724.3967,1724.3967
1688.054,1688.054
1632.857,1632.857
1575.6494,1575.6494
1555.1633,1555.1633
1759.0981,1759.0981
1780.7266,1780.7266
1649.1931,1649.1931
1562.4966,1562.4966
1456.0853,1456.0853
1328.4175,1328.4175
1286.4158,1286.4158
1268.3871,1268.3871
1283.0826,1283.0826
1312.9847,1312.9847
1320.0371,1320.0371
1369.6957,1369.6957
1479.3649,1479.3649
1557.4701,1557.4701
1654.2988,1654.2988
1668.3589,1668.3589
1682.0989,1682.0989
1681.4856,1681.4856
1696.7798,1696.7798
1656.9767,1656.9767
1619.0123,1619.0123
1579.9227,1579.9227
1526.4314,1526.4314
1519.3917,1519.3917
1712.7655,1712.7655
1732.3706,1732.3706
1638.4342,1638.4342
1540.9783,1540.9783
1433.5654,1433.5654
